Year,Statistic,State,value
2001,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5
2002,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.2
2003,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,4.6
2004,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5
2005,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,4.8
2006,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5
2007,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.4
2008,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.4
2009,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,4.4
2010,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.1
2011,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.5
2012,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.7
2013,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,5.9
2014,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,6.5
2015,Trade Exports - Semi Manufacturing Products (Million Tonnes),State,7
2000,Trade Exports - Finished Products (Million Tonnes),State,5.8
2001,Trade Exports - Finished Products (Million Tonnes),State,5.6
2002,Trade Exports - Finished Products (Million Tonnes),State,6
2003,Trade Exports - Finished Products (Million Tonnes),State,5.4
2004,Trade Exports - Finished Products (Million Tonnes),State,7
2005,Trade Exports - Finished Products (Million Tonnes),State,6.8
2006,Trade Exports - Finished Products (Million Tonnes),State,6.7
2007,Trade Exports - Finished Products (Million Tonnes),State,7
2008,Trade Exports - Finished Products (Million Tonnes),State,7.3
2009,Trade Exports - Finished Products (Million Tonnes),State,6.8
2010,Trade Exports - Finished Products (Million Tonnes),State,7.4
2011,Trade Exports - Finished Products (Million Tonnes),State,7.8
2012,Trade Exports - Finished Products (Million Tonnes),State,8.2
2013,Trade Exports - Finished Products (Million Tonnes),State,7.3
2014,Trade Exports - Finished Products (Million Tonnes),State,7.8
2015,Trade Exports - Finished Products (Million Tonnes),State,8.5
